TIMEPOINT	S-N	C-S	N-C
1	2.0	0.0	-2.0
2	2.0	0.0	-2.0
3	2.0	0.0	-2.0
4	2.0	0.0	-2.0
5	2.0	0.0	-2.0
6	2.0	0.0	-2.0
7	-1.33333333333	1.66666666667	-0.333333333333
8	-1.33333333333	1.66666666667	-0.333333333333
9	-1.33333333333	1.66666666667	-0.333333333333
10	-1.33333333333	1.66666666667	-0.333333333333
11	-1.33333333333	-0.333333333333	1.66666666667
12	-1.33333333333	-0.333333333333	1.66666666667
13	-1.66666666667	0.333333333333	1.33333333333
14	-1.66666666667	0.333333333333	1.33333333333
15	-1.66666666667	0.333333333333	1.33333333333
16	-1.66666666667	0.333333333333	1.33333333333
17	0.0	0.0	0.0
18	0.0	0.0	0.0
19	0.0	0.0	0.0
20	0.0	0.0	0.0
21	0.0	0.0	0.0
22	0.0	0.0	0.0
23	0.0	0.0	0.0
24	0.0	0.0	0.0
